Depth,GR,RHOB,Vel
1653.58,66.25,2.386,3668
1653.73,67.41,2.431,3575
1653.88,72.33,2.445,3163
1654.03,76.06,2.422,3032
1654.19,76.64,2.38,3055
1654.34,74.67,2.351,3070
1654.49,73.32,2.349,3070
1654.64,72,2.361,3051
1654.8,72.56,2.36,3032
1654.95,73.72,2.352,3013
1655.1,74.46,2.354,3009
1655.25,71.86,2.359,2999
1655.41,69.77,2.358,2981
1655.56,72.01,2.352,2977
1655.71,77.68,2.347,2981
1655.86,80.58,2.343,2990
1656.02,79.23,2.346,2999
1656.17,76.46,2.361,3031
1656.32,73.75,2.378,3008
1656.47,73.2,2.39,2995
1656.63,74.79,2.399,3045
1656.78,78.79,2.4,2981
1656.93,80.11,2.392,2972
1657.08,79.93,2.398,2994
1657.23,78.88,2.402,3013
1657.39,77.12,2.396,3017
1657.54,75.93,2.395,3045
1657.69,75.05,2.398,2994
1657.84,77.41,2.409,3012
1658,78.43,2.404,3068
1658.15,78.89,2.4,3102
1658.3,78.49,2.421,3083
1658.45,78.9,2.443,3064
1658.61,78.71,2.439,3059
1658.76,75.24,2.418,3083
1658.91,73,2.401,3172
1659.06,71.13,2.408,3244
1659.22,69.5,2.43,3223
1659.37,67.63,2.443,3228
1659.52,66.26,2.434,3182
1659.67,67.31,2.438,3078
1659.83,70.55,2.431,3040
1659.98,73.56,2.398,3030
1660.13,72.8,2.372,3030
1660.28,69.39,2.367,3035
1660.44,67.34,2.38,3044
1660.59,69.48,2.39,3044
1660.74,72.08,2.398,3039
1660.89,74.27,2.39,3035
1661.04,74.95,2.399,3030
1661.2,75.98,2.405,3035
1661.35,78.5,2.409,3039
1661.5,79.78,2.407,3044
1661.65,77.94,2.405,3048
1661.81,73.57,2.404,3067
1661.96,70.47,2.389,3086
1662.11,71.67,2.392,3150
1662.26,75.02,2.42,3276
1662.42,75.68,2.443,3353
1662.57,73.63,2.454,3388
1662.72,71.85,2.462,3365
1662.87,72.1,2.461,3206
1663.03,74.65,2.432,3120
1663.18,76.57,2.407,3062
1663.33,75.97,2.393,3048
1663.48,73.3,2.392,3057
1663.64,73.04,2.39,3071
1663.79,75.74,2.396,3086
1663.94,77.59,2.41,3105
1664.09,76.45,2.404,3125
1664.25,75.33,2.385,3125
1664.4,75.94,2.381,3125
1664.55,77.64,2.387,3105
1664.7,79.82,2.393,3086
1664.85,79.84,2.394,3071
1665.01,78.46,2.393,3095
1665.16,77.55,2.416,3071
1665.31,76.46,2.43,3029
1665.46,78.16,2.407,3019
1665.62,80.91,2.381,3029
1665.77,82.79,2.369,2978
1665.92,83.19,2.384,2996
1666.07,83.16,2.386,3042
1666.23,81.26,2.355,3010
1666.38,78.73,2.34,3014
1666.53,79.01,2.353,3066
